OBJECTID,Day,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccinations,FirstSecondSingleVaccinationsCu
1,2020/12/14 15:00:00+00,3,223,,58,,,3,223,0,58,3,252
2,2020/12/15 15:00:00+00,15,238,1,59,,,15,238,1,59,16,268
3,2020/12/16 15:00:00+00,548,786,2,61,,,548,786,2,61,550,818
4,2020/12/17 15:00:00+00,1057,1843,,61,,,1057,1843,0,61,1057,1875
5,2020/12/18 15:00:00+00,2870,4713,2,63,,,2870,4713,2,63,2872,4747
6,2020/12/19 15:00:00+00,854,5567,1,64,,,854,5567,1,64,855,5602
7,2020/12/20 15:00:00+00,287,5854,2,66,,,287,5854,2,66,289,5891
8,2020/12/21 15:00:00+00,3728,9582,4,70,,,3728,9582,4,70,3732,9623
9,2020/12/22 15:00:00+00,6190,15772,2,72,,,6190,15772,2,72,6192,15815
10,2020/12/23 15:00:00+00,5480,21252,10,82,,,5480,21252,10,82,5490,21305
11,2020/12/24 15:00:00+00,2644,23896,4,86,,,2644,23896,4,86,2648,23953
12,2020/12/25 15:00:00+00,1031,24927,2,88,,,1031,24927,2,88,1033,24986
13,2020/12/26 15:00:00+00,1667,26594,3,91,,,1667,26594,3,91,1670,26656
14,2020/12/27 15:00:00+00,1770,28364,4,95,,,1770,28364,4,95,1774,28430
15,2020/12/28 15:00:00+00,8625,36989,10,105,,,8625,36989,10,105,8635,37065
16,2020/12/29 15:00:00+00,10357,47346,8,113,,,10357,47346,8,113,10365,47430
17,2020/12/30 15:00:00+00,12189,59535,20,133,,,12189,59535,20,133,12209,59639
18,2020/12/31 15:00:00+00,7319,66854,13,146,,,7319,66854,13,146,7332,66971
19,2021/01/01 15:00:00+00,1653,68507,34,180,,,1653,68507,34,180,1687,68658
20,2021/01/02 15:00:00+00,2638,71145,25,205,,,2638,71145,25,205,2663,71321
